@relation 'CAN_traffic (Multi-class)-weka.filters.unsupervised.attribute.Remove-R1-2,10-weka.filters.unsupervised.attribute.Remove-R3'

@attribute Mean numeric
@attribute Var numeric
@attribute Q3 numeric
@attribute IQR numeric
@attribute Skew numeric
@attribute Kurt numeric
@attribute Class {Flooding,Fuzzy,Malfunction}

@data
65.103448,2.810345,65,1,1.500884,1.128159,Flooding
32.525424,73.736411,34.5,3.5,0.084731,-0.430694,Flooding
32.491525,91.254237,42.5,20.5,-0.008509,-1.721738,Flooding
32.525424,5.874342,34,2.5,-0.02029,0.636558,Flooding
32.508475,3.426651,33,2,1.960329,4.324032,Flooding
325.2,0.7,326,1,-0.343622,-1.153061,Flooding
32.6,54.854237,40,16,-0.084583,-1.854218,Flooding
325.4,0.8,326,1,-0.84375,-0.921875,Flooding
65.068966,2.995074,65,1,1.659351,1.421746,Flooding
326.2,1.2,326,0,0.867528,-0.270833,Flooding
32.583333,23.331921,37,10,-0.160749,-1.849233,Flooding
162.727273,16.018182,166,7,0.298207,-1.66743,Flooding
32.542373,5.528346,33,2,0.937611,1.268621,Flooding
32.525424,3.632963,33,2,1.542677,2.483341,Flooding
32.491525,113.219754,43,22,0.039562,-1.785972,Flooding
32.508475,91.461134,42,20,0.003822,-1.740317,Flooding
32.525424,3.736411,33,2,1.470731,2.203171,Flooding
32.423729,10.8346,34.5,3.5,0.141253,-0.68044,Flooding
32.423729,11.041496,34,4,0.00779,-0.194248,Flooding
32.525424,72.046756,36,5,0.017563,-0.581947,Flooding
65.068966,2.852217,65,1,1.157988,0.216417,Flooding
65.2,2.648276,65.75,1.75,1.136719,-0.213867,Flooding
32.474576,3.184687,33,2,1.391305,1.845779,Flooding
32.457627,95.424898,43,20.5,0.008972,-1.775015,Flooding
32.3,35.366102,37.25,10.25,0.165171,-0.989088,Flooding
65.034483,2.891626,65,1,1.320342,0.378849,Flooding
32.491525,67.564582,36.5,8,-0.026756,-0.629833,Flooding
32.627119,12.065459,34,4,0.720259,0.85725,Flooding
32.491525,3.116306,33,2,1.180538,1.289717,Flooding
65.137931,3.480296,66,2,-0.069413,0.217878,Flooding
325.5,22.7,326,1,0,-0.052514,Flooding
32.644068,94.095266,42,18.5,-0.048788,-1.823807,Flooding
325.5,25.9,326,0.75,-0.319133,-0.000268,Flooding
65.137931,3.908867,66,2,0.115861,-0.153232,Flooding
325.8,4.7,326,1,0.283092,-0.64124,Flooding
32.644068,51.129749,40,13.5,-0.082273,-1.702915,Flooding
162.545455,9.272727,166,6,0.098354,-1.705686,Flooding
32.508475,4.185272,33,2,1.328145,2.478332,Flooding
32.508475,3.426651,33,2,1.22014,1.756632,Flooding
32.474576,112.288136,43,22,0.031762,-1.814358,Flooding
32.389831,86.655757,42,18.5,0.013788,-1.773145,Flooding
32.491525,3.185272,33,2,1.418017,2.290177,Flooding
32.40678,9.210988,33,2,0.304853,0.422169,Flooding
32.35,23.519492,36,7,-0.101389,-1.017833,Flooding
32.491525,64.530099,33,2,0.16924,0.224333,Flooding
65.034483,2.463054,65,1,1.127045,0.316751,Flooding
32.440678,88.49211,42.5,19.5,-0.003936,-1.760582,Flooding
32.525424,2.426067,33,2,1.319075,1.866028,Flooding
32.457627,128.942139,43,22,0.05803,-1.894803,Flooding
32.457627,26.769725,37,9,0.202105,-1.364713,Flooding
65.103448,2.667488,65,1,1.63341,1.560036,Flooding
32.338983,57.331385,37,8,-0.001597,-0.719777,Flooding
32.533333,5.303955,34,2,0.893013,4.257776,Flooding
32.508475,2.874927,33,2,1.419391,2.216112,Flooding
65.241379,2.689655,65,1,1.434197,1.00114,Flooding
325.2,3.2,325,0,0.550781,-0.40918,Flooding
32.79661,127.647575,43,22,-0.030314,-1.943676,Flooding
325.4,3.3,326,1,0.179042,-0.731405,Flooding
65.103448,2.810345,65,1,1.500884,1.128159,Flooding
327.8,26.7,326,1,1.465003,0.203447,Flooding
32.728814,63.235535,40,16,-0.025139,-1.744639,Flooding
162.727273,45.418182,165,5.5,0.496442,1.336454,Flooding
32.525424,4.081239,34,3,0.373984,-0.28364,Flooding
32.508475,2.530099,34,3,0.580708,-0.125749,Flooding
32.423729,110.21391,43,22,0.069893,-1.851293,Flooding
32.474576,124.460549,43,22,0.050398,-1.884819,Flooding
32.525424,2.667446,34,3,0.67287,0.253572,Flooding
32.525424,13.253653,35,4,0.559603,-0.213156,Flooding
32.457627,19.942139,36,8,0.279896,-1.259177,Flooding
32.525424,73.391584,40,17,0.147601,-1.044929,Flooding
65.103448,3.881773,66,2,1.022899,0.183804,Flooding
32.633333,127.388701,43,22,0.022236,-1.889418,Flooding
32.508475,2.771479,33,2,0.697394,1.115391,Flooding
32.566667,136.215819,44,23,0.024692,-1.902911,Flooding
32.474576,36.805377,39,12.5,0.051902,-1.687638,Flooding
65,3.357143,65,1,0.992697,0.695564,Flooding
32.305085,92.284629,42,20.5,0.150083,-1.364563,Flooding
32.559322,2.1128,33,1,-0.152576,-0.212418,Flooding
32.508475,3.874927,33.5,2.5,0.801132,1.331997,Flooding
65.137931,1.837438,66,2,1.059958,0.353032,Flooding
325.2,1.2,326,2,-0.408248,-1.833333,Flooding
32.728814,135.3045,44,23,-0.025813,-1.951808,Flooding
325,1,326,2,0,-1.75,Flooding
65.137931,1.980296,65,1,1.160535,-0.051738,Flooding
325.6,36.3,326,1,-0.055517,-0.521947,Flooding
32.711864,67.691409,41,17,-0.025099,-1.762406,Flooding
161.727273,75.818182,164,7.5,0.039964,-0.833467,Flooding
32.525424,2.253653,34,3,0.382431,-0.10755,Flooding
32.566667,1.944633,33,1,1.260806,2.712723,Flooding
32.372881,57.893045,39,14,0.114908,-1.83081,Flooding
32.566667,1.673446,33,1,0.657187,0.821722,Flooding
32.566667,131.503955,44,23,0.019146,-1.88608,Flooding
32.440678,19.285213,35,6,0.332672,-0.48952,Flooding
32.474576,27.081239,38,11,0.051753,-1.351194,Flooding
32.59322,48.969608,39,13,0.138941,-0.98002,Flooding
65.034483,7.605911,68,4,0.223469,-0.443836,Flooding
32.694915,135.457043,44,23,-0.021858,-1.907135,Flooding
32.542373,2.769725,33,2,0.79675,0.390866,Flooding
32.779661,113.036821,43,21,-0.017344,-1.853517,Flooding
32.389831,42.172998,39,13,0.116758,-1.669023,Flooding
65.103448,2.810345,65,1,1.500884,1.128159,Flooding
32.542373,100.735242,42,20,0.072683,-1.780523,Flooding
32.542373,9.493863,34,4,-0.198178,-0.389004,Flooding
32.6,3.837288,34,3,0.640133,-0.050681,Flooding
65.206897,1.527094,66,2,0.755069,-0.707651,Flooding
325.6,0.3,326,1,-0.408248,-1.833333,Flooding
32.779661,134.760958,44,23,-0.017138,-1.933334,Flooding
325.8,0.2,326,0,-1.5,0.25,Flooding
65.206897,1.455665,66,2,0.464498,-1.308395,Flooding
326,3.5,326,1,0.768361,-0.5,Flooding
32.728814,71.338983,41,17,-0.00198,-1.790098,Flooding
161.636364,109.654545,169.5,18.5,0.260751,-1.336841,Flooding
32.6,2.040678,33,2,0.553019,-0.384996,Flooding
32.59322,2.210988,34,2,0.594866,0.358362,Flooding
32.474576,48.253653,39,14,0.040314,-1.857119,Flooding
32.762712,104.425482,42,19,-0.007295,-1.799713,Flooding
32.59322,1.831677,33,1,0.474313,0.068209,Flooding
32.6,26.244068,38,10.25,0.186364,-1.30768,Flooding
32.389831,25.345412,35,6,0.239352,-0.351727,Flooding
32.423729,50.972531,39,14,0.245721,-1.149765,Flooding
65.206897,4.955665,66,2,1.237526,0.62908,Flooding
32.779661,111.174752,42.5,20,-0.014479,-1.798971,Flooding
32.633333,5.659887,34,3,0.921919,0.51072,Flooding
32.813559,110.809468,42,19.5,0.006651,-1.874267,Flooding
32.423729,27.800117,37,10,0.149343,-1.121371,Flooding
65.103448,3.667488,65,1,1.558181,1.707608,Flooding
32.40678,82.107539,41,17.5,0.081722,-1.841876,Flooding
32.728814,20.166569,38,9.5,-0.230271,-1.218551,Flooding
32.661017,6.538282,34,3.5,0.938143,0.403076,Flooding
65.172414,1.79064,65,1,1.045398,-0.156286,Flooding
325.8,5.7,327,3,0.138023,-1.279317,Flooding
32.779661,115.347165,43,21,-0.022909,-1.960279,Flooding
325.6,3.3,327,3,0.380465,-1.557851,Flooding
65.206897,1.384236,66,2,0.796426,-0.442931,Flooding
323.5,140.7,325.75,11.25,0.463529,-0.654525,Flooding
32.745763,66.020456,40,16,0.006112,-1.87375,Flooding
161.75,71.659091,164,2,-0.0469,0.972364,Flooding
32.610169,4.172998,33,2,0.819131,1.466865,Flooding
32.610169,4.655757,33,1,0.969879,0.955894,Flooding
32.457627,48.873174,39,14,0.033882,-1.890256,Flooding
32.813559,104.08533,42,19,0.019258,-1.826233,Flooding
32.525424,2.83986,33,1.5,0.838679,1.842168,Flooding
32.728814,33.994155,38,11,0.18839,-0.999317,Flooding
32.474576,3.391584,33,2,1.519071,2.722913,Flooding
32.423729,52.627703,39,14,0.110877,-1.591002,Flooding
65,2.571429,66,2,0.740422,0.222222,Flooding
32.813559,106.499123,42,20,0.017377,-1.848063,Flooding
32.59322,4.728229,34,4,0.237862,-1.108588,Flooding
32.779661,112.829924,42,20,0.022452,-1.871098,Flooding
32.389831,39.345412,39,13,0.167602,-1.417464,Flooding
65.068966,2.780788,65,1,1.347219,0.52239,Flooding
32.389831,60.06955,39,14,0.066595,-1.834072,Flooding
32.559322,1.664524,33,1,0.66951,0.310868,Flooding
32.59322,4.417884,34,3,0.121101,-1.171157,Flooding
65.172414,1.719212,66,2,0.837672,-0.540104,Flooding
325.6,45.8,325,0,0.440209,-0.442206,Flooding
32.583333,115.670904,43,21,0.011404,-1.962699,Flooding
325.4,46.8,326,2,0.517738,-0.487248,Flooding
65.172414,1.576355,65,1,1.322643,1.278674,Flooding
325.8,0.2,326,0,-1.5,0.25,Flooding
32.711864,68.863822,40,16,-0.022855,-1.938177,Flooding
164.272727,194.018182,178,29.5,-0.178624,-1.754973,Flooding
32.559322,2.699006,33,1.5,0.611804,1.060125,Flooding
32.491525,2.599065,33,1.5,0.862007,0.963739,Flooding
32.457627,46.735243,39,14,0.014149,-1.913735,Flooding
32.79661,108.09585,42,20,0.02717,-1.846356,Flooding
32.491525,2.702513,33,1.5,0.989721,1.858446,Flooding
32.694915,45.732905,39.5,14,-0.04659,-1.645972,Flooding
32.566667,3.300565,33,2,1.465239,1.669931,Flooding
32.457627,48.183518,39,14,0.032476,-1.897502,Flooding
65.241379,3.332512,67,3,0.316785,-1.244418,Flooding
32.779661,112.795441,42,20,0.016172,-1.875832,Flooding
32.644068,8.509059,35,5,0.301704,-1.03936,Flooding
32.79661,120.199299,43,21,-0.002767,-1.882197,Flooding
32.616667,19.833616,35,6,0.13702,-0.496304,Flooding
65.37931,16.743842,65,1,1.020627,2.934678,Flooding
32.423729,54.59322,40,15,0.069209,-1.767295,Flooding
32.79661,119.475161,43,22,-0.009605,-1.891523,Flooding
32.610169,1.828171,33,1,0.228642,0.75538,Flooding
32.627119,16.651666,36,7,0.116555,-1.495943,Flooding
327,15.5,329,5,0.742015,-1.061915,Flooding
32.457627,106.493863,42.5,20.5,0.050438,-1.942284,Flooding
327.2,14.2,329,4,0.767229,-0.994793,Flooding
65.241379,1.546798,65,1,1.232411,1.12448,Flooding
326.2,0.2,326,0,1.5,0.25,Flooding
32.616667,64.681073,40,16,0.043207,-1.862828,Flooding
164.272727,103.818182,171.5,12,-0.105955,-0.979243,Flooding
32.644068,11.922852,36,6.5,-0.253405,-1.212722,Flooding
32.559322,9.561075,35,5,-0.138713,-1.212268,Flooding
32.440678,46.457627,39,14,-0.006663,-1.936375,Flooding
32.79661,117.164816,43,21.5,-0.003196,-1.871144,Flooding
32.559322,5.043834,34,3,-0.027939,-0.980851,Flooding
32.661017,38.469316,38,10,0.103296,-1.037791,Flooding
32.644068,3.681473,33,2,1.609181,2.254362,Flooding
32.440678,40.319696,39,13,-0.012951,-1.81172,Flooding
65.206897,2.027094,66,2,0.686526,0.008925,Flooding
65.241379,1.689655,66,2,1.031531,0.526473,Flooding
32.644068,10.474576,35,5,0.264877,-1.256405,Flooding
32.633333,122.40565,43,22,0.045727,-1.842773,Flooding
32.627119,3.858562,33,2,0.682335,0.274543,Flooding
65.103448,2.953202,65,1,1.470358,0.633634,Flooding
32.533333,44.964972,39,13,0.063048,-1.698725,Flooding
32.633333,122.507345,43,22,0.029039,-1.823747,Flooding
32.576271,1.282876,33,1,0.742872,0.710174,Flooding
32.677966,19.18761,36,7,0.182923,-1.502603,Flooding
327.4,66.8,334,15,-0.384456,-1.807431,Flooding
32.474576,91.460549,42,19,0.072867,-1.917827,Flooding
327.2,63.7,333,14,-0.390297,-1.807374,Flooding
65.206897,1.527094,66,2,0.639507,-0.81923,Flooding
326.2,0.2,326,0,1.5,0.25,Flooding
32.508475,55.599065,40,15,0.054577,-1.894645,Flooding
164.454545,40.872727,168,9.5,0.640031,-0.319529,Flooding
32.644068,12.233197,35,6,-0.182365,-0.747724,Flooding
32.627119,5.341321,34.5,3.5,0.030443,-0.635273,Flooding
32.440678,51.905903,39,13,0.025711,-1.606077,Flooding
32.762712,121.459965,43,22,0.003243,-1.824533,Flooding
32.559322,2.802455,33,2,0.162852,-0.374191,Flooding
32.728814,34.373466,37,9,0.127804,-0.978245,Flooding
32.627119,2.962011,33,2,1.450562,1.649367,Flooding
32.440678,36.87142,39,13,0.093803,-1.540003,Flooding
65.137931,4.26601,66,2,1.247815,0.437952,Flooding
65.241379,1.903941,65,1,1.051302,-0.194919,Flooding
32.627119,8.065459,34.5,4.5,0.437554,-0.674805,Flooding
32.440678,133.078317,44,23,0.024317,-1.953445,Flooding
32.644068,1.784921,33,2,0.628616,0.556745,Flooding
65.137931,2.908867,65,1,1.276371,0.884418,Flooding
32.762712,39.080655,39,13,0.012268,-1.720794,Flooding
32.644068,2.26768,33,1.5,1.355068,2.432888,Flooding
32.661017,25.572764,37,10,0.033436,-1.760974,Flooding
65.206897,1.669951,66,2,1.022686,0.630172,Flooding
325.4,1.3,326,1,0.271545,-1.044379,Flooding
32.474576,96.908825,42,19,0.05325,-1.944397,Flooding
325.6,0.8,326,0,-1.5,0.25,Flooding
65.206897,1.384236,66,2,1.332047,1.953506,Flooding
325.8,2.2,326,1,0.370037,-0.783058,Flooding
32.508475,44.461134,39,13,0.094,-1.859751,Flooding
163.363636,23.654545,168,9.5,-0.057049,-1.618131,Flooding
32.661017,11.538282,33.5,2.5,0.536351,0.894325,Flooding
32.576271,6.489772,33,2,0.525878,2.256543,Flooding
32.474576,164.081239,46,27,0.008857,-1.853634,Flooding
32.6,136.142373,44,23,0.002784,-1.932869,Flooding
32.59322,3.004091,33,1,0.04208,4.847392,Flooding
32.661017,45.227937,37.5,10.5,0.093873,-1.309562,Flooding
32.627119,3.720631,33,2,1.745694,3.296048,Flooding
32.616667,44.54548,39,13,-0.029504,-1.887067,Flooding
65.172414,2.933498,66,2,1.550743,2.84796,Flooding
32.440678,137.319696,44,23,0.033041,-1.945187,Flooding
32.644068,5.612507,34.5,4.5,0.140271,-1.351204,Flooding
32.457627,112.631794,43.5,22.5,0.045371,-1.820818,Flooding
32.661017,1.64173,33,2,0.158162,-0.88183,Flooding
65.172414,2.647783,65,1,1.539611,1.346947,Flooding
32.644068,25.26768,35,5,0.108234,2.192447,Flooding
32.677966,3.532437,33,2,1.369609,1.520898,Flooding
32.694915,35.767387,39,12.5,-0.033299,-1.644883,Flooding
65.241379,7.332512,66,2,0.311046,0.975888,Flooding
326.2,0.2,326,0,1.5,0.25,Flooding
32.491525,79.219755,42,19,0.048306,-1.809413,Flooding
326.2,1.2,326,0,0.867528,-0.270833,Flooding
65.206897,6.384236,66,2,0.601128,0.667575,Flooding
326.4,0.8,326,0,1.5,0.25,Flooding
32.525424,38.357101,39,13,0.076985,-1.659472,Flooding
163.363636,38.454545,165,4,0.265637,1.332467,Flooding
32.610169,8.207481,34,4,0.099997,-0.223397,Flooding
32.616667,5.020056,34,3,0.588078,0.397877,Flooding
32.372881,151.030976,46,27,0.054356,-1.74324,Flooding
32.6,5.159322,34,3,0.765891,1.162622,Flooding
32.457627,113.390415,43.5,22.5,0.051737,-1.82846,Flooding
32.694915,53.905319,39,13,-0.005746,-1.214028,Flooding
32.644068,3.957335,33,2,1.53464,2.638523,Flooding
32.62069,142.485178,46,26.75,0.004881,-1.587837,Flooding
65.241379,0.975369,66,2,0.408096,0.145967,Flooding
32.457627,114.011105,43.5,22.5,0.051381,-1.818133,Flooding
32.576271,5.007013,34,4,0.038259,-1.570035,Flooding
32.59322,93.659264,41.5,17.5,0.039197,-1.132711,Flooding
32.661017,1.779661,33,2,0.595248,0.545441,Flooding
65.172414,2.433498,66,2,1.202629,0.111858,Flooding
32.389831,112.828171,36,7,0.059001,-0.885007,Flooding
32.677966,3.153127,33,2,1.464853,1.759648,Flooding
32.559322,22.561075,36,6.5,0.005677,-1.054605,Flooding
65.689655,42.507389,70,10,0.245772,-0.540714,Flooding
326.2,3.2,326,0,0.550781,-0.40918,Flooding
32.576271,101.420806,41,15.5,0.079868,-1.065707,Flooding
326.2,3.7,327,2,0.39587,-1.005478,Flooding
65.689655,40.935961,69,8,0.384265,-0.034381,Flooding
326.4,10.3,327,1,0.103495,-0.576539,Flooding
32.627119,58.893045,38,10,0.058334,-0.583871,Flooding
163.454545,6.872727,166,5,-0.243042,-1.739544,Flooding
32.65,7.14661,35,5,0.170254,-1.149057,Flooding
32.610169,7.207481,35,5,0.125261,-1.286976,Flooding
32.389831,102.414378,38,13.5,0.010011,-1.234801,Flooding
32.610169,94.241964,41.5,18,0.091481,-1.076009,Flooding
32.59322,6.831677,34.5,4.5,0.188455,-1.14141,Flooding
32.559322,28.388662,38,10,-0.021862,-1.234853,Flooding
32.661017,3.02104,33,2,1.366032,1.373225,Flooding
32.372881,104.824079,37,13,0.124014,-1.08969,Flooding
65.241379,0.975369,66,2,-0.044686,-1.269858,Flooding
32.610169,94.966102,42,18.5,0.088992,-1.087005,Flooding
32.661017,6.607247,35,5,-0.116709,-1.580038,Flooding
32.474576,159.736412,46.5,28,0.025334,-1.660681,Flooding
32.677966,1.497954,33,1,0.293149,-0.513517,Flooding
65.206897,3.312808,65,1,1.749115,2.210678,Flooding
32.677966,76.222092,34.5,4.5,0.104891,0.019712,Flooding
32.694915,2.594974,33,2,1.104162,1.155142,Flooding
32.508475,22.116306,37,9,-0.05258,-1.516686,Flooding
65.517241,62.472906,67,3,0.11149,-0.783367,Flooding
326.4,1.3,327,1,0.271545,-1.044379,Flooding
32.508475,196.978375,49,32.5,0.045897,-1.56627,Flooding
326.2,1.7,327,2,0.363173,-1.371972,Flooding
65.551724,70.6133,67,3,0.096448,-0.7397,Flooding
326.6,1.8,326,0,1.5,0.25,Flooding
32.559322,128.526593,46,26.5,0.03645,-1.462679,Flooding
163.636364,16.654545,167,7.5,0.03428,-1.545363,Flooding
32.627119,20.030976,37,9,-0.021589,-1.310582,Flooding
32.627119,21.755114,38,10,0.07927,-1.385558,Flooding
32.508475,46.736996,39,13,-0.048481,-1.071403,Flooding
32.627119,17.479252,37,9,0.008361,-1.512777,Flooding
32.474576,158.874343,46,27,0.062162,-1.676113,Flooding
32.508475,36.874927,38,11,0.018153,-0.908601,Flooding
32.644068,2.543542,33,1.5,0.905303,0.661352,Flooding
32.508475,114.530099,42.5,19,0.079496,-1.264723,Flooding
65.275862,1.278325,66,2,0.497155,-0.562682,Flooding
32.474576,164.391584,46.5,28,0.056339,-1.663242,Flooding
32.559322,12.354179,36,7,-0.025493,-1.694745,Flooding
32.576271,140.662186,46,27,-0.017446,-1.508875,Flooding
32.661017,1.469316,33,1,0.439001,0.098721,Flooding
65.137931,2.480296,66,2,1.220665,0.112713,Flooding
32.576271,85.489772,39,13,0.003576,-0.703668,Flooding
32.661017,1.26242,33,1,0.254505,-0.261006,Flooding
32.6,30.142373,38.25,11.25,0.036761,-1.426677,Flooding
65.655172,76.23399,75,11,-0.173136,-1.002437,Flooding
326,0.5,326,0,0,-0.5,Flooding
32.559322,177.526593,49,32,0.03027,-1.449562,Flooding
326.2,0.2,326,0,1.5,0.25,Flooding
65.62069,86.3867,76,12,-0.118374,-1.028588,Flooding
326.4,0.3,327,1,0.408248,-1.833333,Flooding
32.610169,119.69024,46,25.5,0.022857,-1.329626,Flooding
163.454545,13.472727,167,7,-0.126726,-1.687284,Flooding
32.576271,29.110462,38,10,-0.07022,-1.119859,Flooding
32.576271,27.524255,37,9,0.018644,-1.179988,Flooding
32.491525,34.530099,39,12,0.031092,-1.789561,Flooding
32.576271,23.179427,35.5,6,0.09014,-0.712073,Flooding
32.576271,142.938048,46,27,0.018073,-1.478646,Flooding
32.6,47.091525,39,11.25,0.038183,-1.115551,Flooding
32.627119,1.755114,33,1,0.485615,0.079006,Flooding
32.474576,36.770894,38.5,11,-0.014717,-0.41465,Flooding
65.206897,1.027094,66,2,-0.003737,-1.364293,Flooding
32.59322,147.969608,46,27,0.017807,-1.481713,Flooding
32.525424,10.529515,36,6.5,-0.032677,-1.513986,Flooding
32.372881,225.341321,47,29.5,0.04449,-1.946977,Flooding
32.59322,2.452367,33,2,0.749605,0.331925,Flooding
65.2,3.475862,65.75,1.75,1.197601,0.108277,Flooding
32.711864,58.898305,40,15,-0.025956,-1.902459,Flooding
32.661017,2.055523,33,2,0.894181,1.617975,Flooding
32.711864,62.932788,41,16,-0.037354,-1.891493,Flooding
65.137931,1.051724,66,2,0.530359,0.007835,Flooding
325.6,12.3,328,4,-0.017106,-1.21862,Flooding
32.338983,263.572765,48.5,32.5,0.035158,-1.972234,Flooding
325.6,18.3,328,5,-0.077978,-1.21522,Flooding
65.137931,1.551724,66,2,0.187007,-0.641247,Flooding
325.6,0.3,326,1,-0.408248,-1.833333,Flooding
32.389831,189.035067,46,27,0.036017,-1.970772,Flooding
163.181818,11.763636,165.5,5.5,-0.099381,-1.490925,Flooding
32.728814,56.511397,39,14,-0.055271,-1.813885,Flooding
32.745763,47.606663,39,13,-0.007731,-1.823077,Flooding
32.583333,47.162429,39,13,-0.000867,-1.932124,Flooding
32.745763,18.503214,35,5,0.283261,-0.292174,Flooding
32.372881,218.651666,47,29,0.043235,-1.956746,Flooding
32.525424,65.322618,39,13.5,-0.037865,-1.089369,Flooding
32.525424,7.012274,35,5,0.066821,-1.137114,Flooding
32.6,45.701695,39,13,0.001301,-1.918917,Flooding
65.448276,37.899015,68,4,0.005498,-0.778991,Flooding
32.355932,222.405611,47,29.5,0.042793,-1.95432,Flooding
32.65,12.231356,36,6.25,0.017303,-1.482621,Flooding
32.372881,205.893045,47,29.5,0.067691,-1.844314,Flooding
32.644068,1.612507,33,2,0.233767,-0.678636,Flooding
65.344828,4.162562,67,3,0.420446,-0.521619,Flooding
32.745763,59.434249,40,15.5,-0.020297,-1.848916,Flooding
32.661017,8.296902,33,2,0.775416,14.59924,Flooding
32.762712,66.115137,41,17,-0.011303,-1.839774,Flooding
65.206897,18.741379,66,2,-0.111085,3.51297,Flooding
326.2,1.2,326,0,0.867528,-0.270833,Flooding
32.355932,204.922852,47,29,0.051282,-1.893068,Flooding
326,1.5,326,1,0.912871,-0.5,Flooding
65.206897,18.884236,66,1,-0.307578,3.762124,Flooding
326.4,1.3,327,1,0.271545,-1.044379,Flooding
32.40678,147.935126,45,25,0.034572,-1.884472,Flooding
163.272727,10.418182,166,6,-0.126201,-1.765006,Flooding
32.728814,55.132086,40,15,-0.011696,-1.612856,Flooding
32.711864,47.794857,39.5,14,-0.033227,-1.470439,Flooding
32.779661,44.726476,39,13,-0.019626,-1.880943,Flooding
32.644068,20.612507,35,4,-0.302467,0.0129,Flooding
32.372881,208.82408,47.5,29.5,0.073715,-1.840501,Flooding
32.813559,53.257744,36,5,-0.072163,0.14574,Flooding
32.55,4.624576,34,3,-0.373267,-0.337095,Flooding
32.762712,47.046172,39,13,-0.027632,-1.905599,Flooding
65.517241,17.187192,66,2,-0.081497,0.765223,Flooding
32.372881,211.755114,47.5,30.5,0.074909,-1.84442,Flooding
32.542373,9.114553,35,5,-0.074304,-1.331551,Flooding
32.440678,173.733489,45.5,26,0.023612,-1.821029,Flooding
32.566667,1.537853,33,2,0.222587,-0.604337,Flooding
65.172414,4.076355,66,2,0.264156,-0.236639,Flooding
32.627119,64.306838,40,16,-0.05094,-1.906279,Flooding
32.745763,69.503214,41,17,0.051877,-1.518582,Flooding
32.644068,56.991818,40,15,-0.070516,-1.822152,Flooding
65.103448,17.167488,66,2,0.179756,3.961701,Flooding
326.2,4.2,328,2,-0.685828,-0.770408,Flooding
32.389831,178.310929,46,27,0.028195,-1.877085,Flooding
326,3.5,327,1,-0.768361,-0.5,Flooding
65.068966,20.280788,66,2,0.24534,3.485662,Flooding
324.8,7.7,326,1,-1.262107,-0.056755,Flooding
32.389831,119.483343,44,23,0.018333,-1.875853,Flooding
162.636364,6.654545,165,4,0.129061,-1.574823,Flooding
32.59322,42.693746,38,10.5,-0.109473,-1.098641,Flooding
32.59322,23.383402,34,3,-0.013373,1.006437,Flooding
32.694915,46.319112,39,13,-0.047963,-1.882982,Flooding
32.576271,7.041496,33,2,-0.647128,10.527365,Flooding
32.440678,173.147282,46,26,0.040516,-1.817016,Flooding
32.491525,28.150789,33,2,-0.233039,2.518676,Flooding
32.610169,5.793688,34,3,0.166449,-0.41395,Flooding
32.677966,47.084161,39,13,-0.039438,-1.918424,Flooding
65.103448,9.953202,66,2,0.354746,3.363325,Flooding
32.440678,179.423144,46,26,0.039268,-1.817027,Flooding
32.661017,8.676213,35,5,-0.084342,-1.114139,Flooding
32.440678,135.699006,44,23,0.048599,-1.864391,Flooding
32.610169,1.69024,33,2,0.278116,-0.795771,Flooding
65.37931,6.8867,66,2,0.941206,0.110297,Flooding
32.779661,51.381648,40,15,-0.044119,-1.75275,Flooding
32.79661,32.233781,36,7,-0.034089,-0.918286,Flooding
32.610169,59.897136,40,15.5,-0.01758,-1.554349,Flooding
65.206897,1.384236,66,2,0.260805,-0.522812,Flooding
326.2,0.2,326,0,1.5,0.25,Flooding
32.474576,143.012273,44,24,0.032845,-1.924019,Flooding
326,1.5,326,1,0.912871,-0.5,Flooding
65.206897,1.027094,66,2,0.415277,-0.029441,Flooding
327,3,327,1,1.290994,-0.083333,Flooding
32.474576,90.391584,41.5,18.5,0.039164,-1.914839,Flooding
163.272727,6.018182,165,4,-0.031703,-1.606114,Flooding
32.644068,10.853887,34,3,-0.697423,3.89412,Flooding
32.644068,5.612507,34,3,-0.134372,6.586791,Flooding
32.728814,44.511397,39,13,-0.061982,-1.883038,Flooding
32.616667,2.409887,34,3,-0.055326,-0.632249,Flooding
32.457627,136.011105,44,23,0.045355,-1.857769,Flooding
32.616667,12.375989,34,3,0.979129,3.478659,Flooding
32.542373,7.390415,34,3,0.257176,1.030521,Flooding
32.745763,44.675628,39,13,-0.040514,-1.757563,Flooding
65.103448,2.881773,66,2,0.727564,0.791771,Flooding
32.457627,133.114553,44,22,0.043341,-1.843926,Flooding
32.40678,49.176505,36,7.5,0.129862,2.49857,Flooding
32.440678,53.388662,39,13,-0.054508,-1.315259,Flooding
32.59322,3.728229,33,2,0.444123,7.897989,Flooding
65.241379,3.261084,66,2,0.63244,-0.836391,Flooding
32.745763,13.123904,35,4,-0.33703,-0.1125,Flooding
32.677966,17.118644,35,5,0.039821,-0.476914,Flooding
32.6,10.142373,33,2,0.582035,8.867856,Flooding
65,4.142857,66,2,0.672414,4.181034,Flooding
326,0,326,0,0,-3,Flooding
32.440678,41.630041,38,11,0.009507,-1.256726,Flooding
326,0.5,326,0,0,-0.5,Flooding
65.034483,4.748768,66,2,0.376671,3.176107,Flooding
326,0.5,326,0,0,-0.5,Flooding
32.508475,17.943892,35.5,5.5,-0.079462,0.029659,Flooding
